titles,preds
Phase-field microelasticity theory and micromagnetic simulations of domain structures in giant magnetostrictive materials,19
Phase transitions and domain structures of ferroelectric nanoparticles: Phase field model incorporating strong elastic and dielectric inhomogeneity,20
Phase-field modeling and machine learning of electric-thermal-mechanical breakdown of polymer-based dielectrics,19
Computer simulation of morphological evolution and coarsening kinetics of δ′(Al3Li) precipitates in Al–Li alloys,2
Magnetoelectric quasi-(0-3) nanocomposite heterostructures,25
"Understanding and designing magnetoelectric heterostructures guided by computation: progresses, remaining questions, and perspectives",21
Predicting β′ precipitate morphology and evolution in Mg–RE alloys using a combination of first-principles calculations and phase-field modeling,5
"Conductivity of twin-domain-wall/surface junctions in ferroelastics: Interplay of deformation potential, octahedral rotations, improper ferroelectricity, and flexoelectric coupling",15
Ultrahigh energy storage in superparaelectric relaxor ferroelectrics,25
The effect of mechanical strains on the ferroelectric and dielectric properties of a model single crystal–Phase field simulation,24
A three-dimensional phase-field model for computer simulation of lamellar structure formation in γTiAl intermetallic alloys,4
Dramatically enhanced combination of ultimate tensile strength and electric conductivity of alloys via machine learning screening,1
Manipulating topological transformations of polar structures through real-time observation of the dynamic polarization evolution,5
Effect of grain boundary width on grain growth in a diffuse-interface field model,15
Large-scale submicron horizontally aligned single-walled carbon nanotube surface arrays on various substrates produced by a fluidic assembly method,27
Quantification of internal electric fields and local polarization in ferroelectric superlattices,15
A thermodynamic potential and the temperature-composition phase diagram for single-crystalline K1-xNaxNbO3 (0 ≤ x ≤ 0.5),4
Mathematical and numerical aspects of a phase-field approach to critical nuclei morphology in solids,8
Spinodal decomposition and pattern formation near a crystalline surface,2
Superhierarchical inorganic/organic nanocomposites exhibiting simultaneous ultrahigh dielectric energy density and high efficiency,16
Effect of Meso‐Scale Geometry on Piezoelectric Performances of Additively Manufactured Flexible Polymer‐Pb(ZrxTi1−x)O3 Composites,15
Anomalous negative electrocaloric effect in a relaxor/normal ferroelectric polymer blend with controlled nano-and meso-dipolar couplings,11
"Stability of the unswitched polarization state of ultrathin epitaxial Pb (Zr, Ti) O 3 in large electric fields",15
Kinetics of ordering and spinodal decomposition in the pair approximation,13
A phase-field model integrating reaction-diffusion kinetics and elasto-plastic deformation with application to lithiated selenium-doped germanium electrodes,4
Tunable non-volatile memory by conductive ferroelectric domain walls in lithium niobate thin films,11
Direct imaging of the relaxation of individual ferroelectric interfaces in a tensile‐strained film,11
Effect of the misorientation angle and anisotropy strength on the initial planar instability dynamics during solidification in a molten pool,15
Strain effects on domain structures in ferroelectric thin films from phase‐field simulations,20
"Statics and Dynamics of Alloy Phase Transformations (NATO Advanced Study Institute, Series B: Physics, vol 319) ed A Gonis and PEA Turchi",21
Anomalous crack arrays in anisotropic-strained manganite on scandate substrates,11
Concentration overshooting caused by compositional relaxation in a one-dimensional bcc binary model alloy: a computer simulation on microscopic master equations,2
Multi-scale simulation of Al–Cu–Cd alloy for yield strength prediction of large components in quenching-aging process,14
Lorenz Number and Electronic Thermoelectric Figure of Merit: Thermodynamics and Direct DFT Calculations,26
On errors of digital image correlation due to speckle patterns,7
Parallel computing in experimental mechanics and optical measurement: A review (II),16
Comparative study of sampling moiré and windowed Fourier transform techniques for demodulation of a single-fringe pattern,11
A real-time polarization phase shifting technique for dynamic measurement,4
A heterogeneous computing system for coupling 3D endomicroscopy with volume rendering in real-time image visualization,4
Coherence enhancing diffusion and windowed Fourier filtering for fringe patterns denoising (II),22
Registration of in vivo fluorescence endomicroscopy images based on feature detection,15
Spatial pattern-shifting method for complete two-wavelength fringe projection profilometry: erratum,11
"Fringe projection profilometry method with high efficiency, precision, and convenience: theoretical analysis and development",2
PieceTimer: A holistic timing analysis framework considering setup/hold time interdependency using a piecewise model,28
Boolean Matching and Disjoint Decomposition for FPGA Technology Mapping,18
MiniControl: Synthesis of continuous-flow microfluidics with strictly constrained control ports,28
Physical synthesis of flow-based microfluidic biochips considering distributed channel storage,16
Machine learning and structural characteristics for reverse engineering,2
Accurately timed transaction level models for virtual prototyping at high abstraction level,1
Columba S: A scalable co-layout design automation tool for microfluidic large-scale integration,26
EffiTest2: Efficient delay test and prediction for post-silicon clock skew configuration under process variations,28
Component-oriented high-level synthesis for continuous-flow microfluidics considering hybrid-scheduling,12
PLATON: A force-directed placement algorithm for 3d optical networks-on-chip,28
Deterministic synthesis of hybrid application-specific network-on-chip topologies,11
A new power estimation technique with application to decomposition of boolean functions for low power,4
Lifetime enhancement for rram-based computing-in-memory engine considering aging and thermal effects,2
PSION+: Combining logical topology and physical layout optimization for Wavelength-Routed ONoCs,23
PSION: Combining Logical Topology and Physical Layout Optimization for Wavelength-Routed ONoCs,28
Cross-layer dependability modeling and abstraction in system on chip,14
Current source modeling for power and timing analysis at different supply voltages,11
Countering variations and thermal effects for accurate optical neural networks,29
CustomTopo: A topology generation method for application-specific wavelength-routed optical NoCs,28
Multivariate modeling of variability supporting non-gaussian and correlated parameters,25
Memory access reconstruction based on memory allocation mechanism for source-level simulation of embedded software,2
Digital design at a crossroads how to make statistical design methodologies industrially relevant,25
Extremely low-power logic,1
Integrating aging aware timing analysis into a commercial STA tool,29
Hierarchical control flow matching for source-level simulation of embedded software,11
Automatic generation of hierarchical placement rules for analog integrated circuits,11
PlanarONoC: concurrent placement and routing considering crossing minimization for optical networks-on-chip,23
The extendable translating instruction set simulator (ETISS) interlinked with an MDA framework for fast RISC prototyping,24
From biochips to quantum circuits: Computer-aided design for emerging technologies,7
Analytical timing estimation for temporally decoupled TLMs considering resource conflicts,16
A spectral clustering approach to application-specific network-on-chip synthesis,4
Non-intrusive trace & debug NoC architecture with accurate timestamping for GALS SoCs,14
Fast automatic sizing of a charge pump phase-locked loop based on behavioral models,1
Synthesis of a cyberphysical hybrid microfluidic platform for single-cell analysis,15
Timing verification for adaptive integrated circuits,29
System C-based multi-level error injection for the evaluation of fault-tolerant systems,26
Technology-aware system failure analysis in the presence of soft errors by mixture importance sampling,12
Circuit-based approaches to SIMPL systems,12
Tomorrows High-Quality SoCs Require High-Quality Embedded Memories Today.,26
Computer-aided design techniques for flow-based microfluidic lab-on-a-chip systems,12
"Flow-based microfluidic biochips with distributed channel storage: Synthesis, physical design, and wash optimization",12
Wavelength-routed optical nocs: design and eda—state of the art and future directions,12
Performance and accuracy in soft-error resilience evaluation using the multi-level processor simulator ETISS-ML,21
FinFET-based product performance: Modeling and evaluation of standard cells in FinFET technologies,6
Fault-tolerant embedded control systems for unreliable hardware,12
Connecting different worlds—Technology abstraction for reliability-aware design and Test,5
Fast cache simulation for host-compiled simulation of embedded software,25
Sizing rules for bipolar analog circuit design,29
Pareto-front computation and automatic sizing of cpplls,27
"Static magnetic solution in magnetic composites with arbitrary susceptibility inhomogeneity and anisotropy (vol 117, 043907, 2015)",11
"Piezoelectric Single Crystal With Near-Perfect Transparency And High Piezoelectricity, Preparation Method And Application Thereof",18
Multiscale Modeling for MOCVD Synthesis and Characterization of Transition Metal Dichalcogenides,18
Electric field Controllable``Negative Capacitance''in Polar Skyrmions: Topological transition?,16
"Ahmadipoura, M., Hatami, M., Sadabadi, H. and Rao, KV (2013). Magnetic property of Zn0. 8CO0. 2O Diluted Magnetic Semiconductors by Auto Combustion Method. International …",10
Phase-field simulation of domain stabilities and structures in ferroelectric/multiferroic thin films,19
"Structure, structural phase transitions, mechanical properties, defects-Phase transitions and domain structures in strained pseudocubic (100) SrTiO3 thin films",10
Accurate and efficient optic disc detection and segmentation by a circular transformation,8
Retrieval of machine-printed Latin documents through Word Shape Coding,15
Model adaptation: Historical contrastive learning for unsupervised domain adaptation without source data,2
Learning Disentangled Representation Implicitly via Transformer for Occluded Person Re-Identification,17
Multipath sparse coding for scene classification in very high resolution satellite imagery,22
Large scale growth and characterization of atomic hexagonal boron nitride layers,11
Chemical Vapor Deposition of Thin Crystals of Layered Semiconductor SnS2 for Fast Photodetection Application,26
High performance agar/graphene oxide composite aerogel for methylene blue removal,16
Statistical study of deep submicron dual-gated field-effect transistors on monolayer chemical vapor deposition molybdenum disulfide films,11
Vertically aligned single-walled carbon nanotubes as low-cost and high electrocatalytic counter electrode for dye-sensitized solar cells,1
Synthesis of reduced graphene oxide–Fe3O4 multifunctional freestanding membranes and their temperature dependent electronic transport properties,15
Lithium-conducting covalent-organic-frameworks as artificial solid-electrolyte-interphase on silicon anode for high performance lithium ion batteries,12
Graphene on metal grids as the transparent conductive material for dye sensitized solar cell,22
Electrospinning fabrication and in situ mechanical investigation of individual graphene nanoribbon reinforced carbon nanofiber,29
In situ synthesis of lead-free halide perovskite–COF nanocomposites as photocatalysts for photoinduced polymerization in both organic and aqueous phases,7
Mechanically Assisted Self‐Healing of Ultrathin Gold Nanowires,1
Excitonic resonant emission–absorption of surface plasmons in transition metal dichalcogenides for chip-level electronic–photonic integrated circuits,11
Optimal structuring of nitrogen-doped hybrid-dimensional nanocarbons for high-performance flexible solid-state supercapacitors,11
Yield strength dependence on strain rate of molybdenum-alloy nanofibers,20
Achieving self‐stiffening and laser healing by interconnecting graphene oxide sheets with amine‐functionalized ovalbumin,17
Single Nanowire Structural Electrical and Electrochemical Characterization During Lithium Insertion.,18
An Investigation of The Effects of Temperature on Fatigue Crack Growth Behavior of a Cast Nearly Lamellar Ti-47A1–2Cr-2Mn+ 0.8 Vol.% TiB2 Gamma Titanium Alloy,4
Automatic optic disc detection from retinal images by a line operator,11
Efficient boolean matching in technology mapping with very large cell libraries,11
DeeperThings: Fully distributed CNN inference on resource-constrained edge devices,28
Sortex: Efficient timing-driven synthesis of reconfigurable flow-based biochips for scalable single-cell screening,10
An Analysis of Industrial SRAM Test Results-A Comprehensive Study on Effectiveness and Classification of March Test Algorithms,4
On-chip electric waves: An analog circuit approach to physical uncloneable functions,19
Design-for-testability for continuous-flow microfluidic biochips,12
Where formal verification can help in functional safety analysis,1
Special session: How secure are PUFs really? On the reach and limits of recent PUF attacks,16
Aging-aware timing analysis of combinatorial circuits on gate level,12
Fast and waveform independent characterization of current source models,8
PathDriver: A path-driven architectural synthesis flow for continuous-flow microfluidic biochips,28
Cloud columba: Accessible design automation platform for production and inspiration,2
ETISS-ML: a multi-level instruction set simulator with rtl-level fault injection support for the evaluation of cross-layer resiliency techniques,6
From process variations to reliability: A survey of timing of digital circuits in the nanometer era,7
Probabilistic standard cell modeling considering non-Gaussian parameters and correlations,11
Ultra-low-power design: Device and logic design approaches,14
Block-flushing: A block-based washing algorithm for programmable microfluidic devices,12
Graph-grammar-based IP-integration (GRIP)—An EDA tool for software-defined SoCs,19
Fault-tolerant valve-based microfluidic routing fabric for droplet barcoding in single-cell analysis,12
Generative Adversarial Network Based Scalable On-chip Noise Sensor Placement,18
Emulation of an ASIC power and temperature monitoring system (eTPMon) for FPGA prototyping,15
Robustness validation of integrated circuits and systems,20
"Designed Assembly and Structures and Photoluminescence of a New Class of Discrete ZnII Complexes of 1H‐1,10‐Phenanthroline‐2‐one",9
[{{Zn(en)2}2As6V15O42(H2O)}2{Zn(en)2}]·2Hen·3H2O. The First Dimeric Arsenic-Vanadium Cluster Linked by Zn(en)2 Complex Bridge,23
"Synthesis and characterization of organically templated zinc phosphites with two-and three-dimensional structures,(C2N2H10) Zn2 (HPO3) 3 and (C4N2H12) Zn3 (HPO3) 4",21
Tetrakis (μ-α-naphthylacetato-κ2O: O′) bis [(dimethyl sulfoxide-κO) copper (II)]–α-naphthylacetic acid–dimethyl sulfoxide (1/2/2),10
Vapour-driven crystal-to-crystal transformation showing an interlocking switch of the coordination polymer chains between 1D and 3D,12
Promoting mechanism of enhancers and transport pathway of large hydrophilic molecular across nasal epithelium studied by ESR and CLSM technologies,29
EXPERIMENTAL THERAPEUTICS AND PHARMACOLOGY,16
Comparison of genetic diversity between landraces and breeding varieties in Chinese peanut mini core collection by SSR markers.,15
"Design, implementation and verification of cloud architecture for monitoring a virtual machine's security health",10
Topology-aware differential privacy for decentralized image classification,12
"Knowledge Science, Engineering and Management: 15th International Conference, KSEM 2022, Singapore, August 6-8, 2022: Proceedings",26
The important modes of subsystems: A moment‐matching approach,24
A block variational procedure for the iterative diagonalization of non-Hermitian random-phase approximation matrices,4
"lapack Users’ Guide, Society for Industrial and Applied Mathematics. 70 246· Cluster scheduling for explicitly-speculative tasks Anderson, TE, Culler, DE, Patterson, DA, and …",0
A nonlinear QR algorithm for banded nonlinear eigenvalue problems,4
Parallelization of the QR decomposition with column pivoting using column cyclic distribution on multicore and GPU processors,15
Lecture 08: Partial Eigen Decomposition of Large Symmetric Matrices via Thick-Restart Lanczos with Explicit External Deflation and its Communication-Avoiding Variant,10
Self-supporting activated carbon/carbon nanotube/reduced graphene oxide flexible electrode for high performance supercapacitor,12
Enhanced charging capability of lithium metal batteries based on lithium bis (trifluoromethanesulfonyl) imide-lithium bis (oxalato) borate dual-salt electrolytes,9
The effects of N-methyl-N-butylpyrrolidinium bis (trifluoromethylsulfonyl) imide–based electrolyte on the electrochemical performance of high capacity cathode material Li [Li0 …,24
Li‐Rich Li[Li1/6Fe1/6Ni1/6Mn1/2]O2 (LFNMO) Cathodes: Atomic Scale Insight on the Mechanisms of Cycling Decay and of the Improvement due to Cobalt …,26
Dual carbonaceous materials synergetic protection silicon as a high-performance free-standing anode for lithium-ion battery,11
The Effect ofCarbon Coating on the Electrochemical Performance of  Li [Li0.2Mn0.54Ni0.13Co0.13]O2 Positive ElectrodeMaterial for Lithium Ion Battery,24
Substantially Promoted Energy Density of Li||CFx Primary Battery Enabled by Li+-DMP Coordinated Structure,1
Thermodynamic relationships between composition and defect concentration in NMC cathodes resolved using novel high-precision powder diffraction methods,16
Spiking Pitch Black: Poisoning an Unknown Environment to Attack Unknown Reinforcement Learners,17
Side-channel leakage and trace compression using normalized inter-class variance,19
Countering early evaluation: an approach towards robust dual-rail precharge logic,5
Drop by Drop you break the rock-Exploiting generic vulnerabilities in Lattice-based PKE/KEMs using EM-based Physical Attacks,3
"Une Indexation Conceptuelle pour un Filtrage par Dimensions, Expérimentation sur la base médicale ImageCLEFmed avec le métathésaurus UMLS",18
Distortion-free image mosaicing for tunnel inspection based on robust cylindrical surface estimation through structure from motion,19
Spatio-temporal hough forest for efficient detection–localisation–recognition of fingerwriting in egocentric camera,19
Disconnecting to Connect: understanding Optimistic Disconnection in BitTorrent,17
HIPER: Heuristic-based infrastructure expansion through partition reconnection for efficient Virtual Network Embedding,28
SnapToTell: Accès ubiquitaire à de l'information multimédia à partir d'un téléphone portable. Application sur une base d'images de Singapour,28
Evaluation of an experimentally designed stereotactic guidance system for determining needle entry point during uniplanar fluoroscopy-guided intervention,15
Semantically consistent hierarchical text to fashion image synthesis with an enhanced-attentional generative adversarial network,1
"Canonical correlation analysis of video volume tensors for action categorization and detection. PAMI, 2009.(pages xiii and 16.) 144 BIBLIOGRAPHY A. Klaser, M. Marszalek, and C …",16
Removal of unnecessary context switches from the SystemC simulation kernel for fast VP simulation,15
Fast statistical timing analysis of latch-controlled circuits for arbitrary clock periods,11
Ultrastable Gold Nanoparticles Modified by Bidentate N-Heterocyclic Carbene Ligands,18
"Synthesis and structure of palladium 1, 2, 3-triazol-5-ylidene mesoionic carbene PEPPSI complexes and their catalytic applications in the Mizoroki–Heck reaction",21
"Synthesis and structure of silver and rhodium 1, 2, 3-triazol-5-ylidene mesoionic carbene complexes",21
Double Single‐Crystal‐to‐Single‐Crystal Transformation and Small‐Molecule Activation in Rhodium NHC Complexes,25
Molecular assembly of a 3D-ordered multilayer,16
Platinum Stilbazoles: Ring-Walking Coupled with Aryl− Halide Bond Activation,26
Directing aryl− I versus aryl− Br bond activation by nickel via a ring walking process,5
Highly selective directed arylation reactions via back-to-back dehydrogenative C–H borylation/arylation reactions,1
From Azobenzene Coordination to Aryl− Halide Bond Activation by Platinum,7
Optimization of sc σδ modulators based on worst-case-aware Pareto-optimal fronts,15
Reducing the resistance for the use of electrochemical impedance spectroscopy analysis in materials chemistry,5
Dimeric rhodium–ethylene NHC complexes as reactive intermediates for the preparation of tetra-heteroleptic NHC complexes,25
Positive constructs: charges localized on surface-confined organometallic oligomers,11
Heteroleptic rhodium NHC complexes with pyridine-derived ligands: synthetic accessibility and reactivity towards oxygen,16
Maximizing the communication parallelism for wavelength-routed optical networks-on-chips,5
Site affinity effects upon charge injection into siloxane-based monolayers,2
Synthesis and Characterization of Cationic Rhodium Peroxo Complexes,21
Overview of 2019 CAD Contest at ICCAD,15
A Coordination Controlled Aryl–Halide Oxidative Addition to Platinum,4
Multi‐Readout Logic Gate for the Selective Detection of Metal Ions at the Parts Per Billion Level,22
Dioxygen adducts of rhodium N-heterocyclic carbene complexes,2
Palladium-catalyzed cross-coupling reactions with fluorinated substrates: mechanistic insights into the undesired hydrodehalogenation of aryl halides,12
Nanomaterials Design for Sensing Applications,13
Fluxional behavior of platinum (0) complexes: Intra vs intermolecular reaction pathways,16
"Mechanistic Aspects of Aryl–Halide Oxidative Addition, Coordination Chemistry, and Ring‐Walking by Palladium",18
Generation of mono-and bimetallic palladium complexes and mechanistic insight into an operative metal ring-walking process,15
Flexible electrochemical aptasensor for cortisol detection in human sweat,11
Long-Range Through-Bond Heteronuclear Communication in Platinum Complexes,27
Effect of Carbon Support on Fe-N3/C Model Active Site for the Oxygen Reduction Reaction,15
Carbene-Functionalized Composite Materials,12
Ring-Opening Metathesis Polymerization in Miniemulsion Using a TEGylated Ruthenium-Based Metathesis Catalyst,12
High-performance water oxidation catalysts based on the spontaneous deposition of ruthenium on electrochemically exfoliated graphene oxide,27
A Phosphine-Accelerated ArF–Chloride Bond Activation Process by Palladium,4
Carbon materials functionalized by nitrogenous ligands for dual application in energy storage and production: Fuel cells and supercapacitors,2
Multi-readout logic gate for selective metal ions detection in parts per billion levels,14
A new spin on electrochemistry in the undergraduate lab,4
Carbon–nitrogen–metal material as a high performing oxygen evolution catalyst,10
Hybrid Supercapacitor Electrode Materials via Molecular Imprinting of Nitrogenous Ligands and Iron Complexes into Carbon Support,18
"A M-N3/C Active Site Prepared through Terpyridine Motifs (M= Fe, Co, Mn, Ni, Sn) for the Oxygen Reduction Reaction",4
Ligand impact on monolayer electrochromic material properties,2
Colorimetric sensors and sensor arrays,16
"A novel material for the detection and removal of mercury (ii) based on a 2, 6-bis (2-thienyl) pyridine receptor",4
Multichromic monolayer terpyridine-based electrochromic materials,25
Systematic design of electrochromic energy storage devices based on metal–organic monolayers,16
Spacer conjugation and surface support effects in monolayer electrochromic materials,2
Fe−N3/C Active Catalytic Sites for the Oxygen Reduction Reaction Prepared with Molecular‐Level Geometry Control through the Covalent Immobilization of an Iron …,23
A highly durable N-enriched titanium nanotube suboxide fuel cell catalyst support,4
Probing the influence of the carbon support on the activity of Fe-N3/C model active sites for the oxygen reduction reaction,5
Effect of Transition Metals on the Oxygen Reduction Reaction Activity at Metal‐N3/C Active Sites,15
Hemoglobin-driven iron-directed assembly of gold nanoparticles,12
Multiple electrochemically accessible colour states in surface-confined metal–organic monolayers: stepwise embedding of individual metal centres,25
Ni on graphene oxide: a highly active and stable alkaline oxygen evolution catalyst,22
Post-Synthetic Color Tuning of the Ultra-Effective and Highly Stable Surface-Confined Electrochromic Monolayer: Shades of Green for Camouflage Materials,14
Probing the Influence of Counter Electrode Structure on Electrochromic‐Device Operating Potentials and Performance Using Electrochemical Impedance Spectroscopy,5
Dynamic electrochromic play via “mix-and-match” reversible metal-ligand interactions,11
Osmium‐and Cobalt‐Terpyridine‐Based Electrochromic Devices for “Smart” Signage Application: The Effect of Lighting on Color Perception,23
Carbene-Functionalized Composite Materials,12
Surface-Enhanced Counter Electrode Materials for the Fabrication of Ultradurable Electrochromic Devices,12
Osmium‐and Cobalt‐Terpyridine‐Based Electrochromic Devices for “Smart” Signage Application: The Effect of Lighting on Color Perception (Adv. Electron. Mater. 10/2021),23
Cover Feature: Probing the Influence of Counter Electrode Structure on Electrochromic‐Device Operating Potentials and Performance Using Electrochemical Impedance Spectroscopy …,20
Methods and materials for mercury detection and removal,13
Part V-Cross-Language Retrieval in Image Collections (ImageCLEF)-ImageCLEFmed-Inter-media Concept-Based Medical Image Indexing and Retrieval with UMLS at IPAL,25
Thermal-aware placement and routing for 3d optical networks-on-chips,27
Runtime adaptation of application execution under thermal and power constraints in massively parallel processor arrays,2
ILP-based Alleviation of Dense Meander Segments with Prioritized Shifting and Progressive Fixing in PCB Routing,6
Analysis of aging mitigation techniques for digital circuits considering recovery effects,15
A greedy approach for latency-bounded deadlock-free routing path allocation for application-specific NoCs,4
A virtual prototyping platform for real-time systems with a case study for a two-wheeled robot,4
Statistical timing analysis for latch-controlled circuits with reduced iterations and graph transformations,11
Robustheit nanoelektronischer Schaltungen und Systeme,26
Method for security purposes,22
A random and pseudo-gradient approach for analog circuit sizing with non-uniformly discretized parameters,4
Machine Learning based Performance Prediction of Microcontrollers using Speed Monitors,26
Predicting memory compiler performance outputs using feed-forward neural networks,29
TimingCamouflage+: Netlist security enhancement with unconventional timing,28
ACCESS: HW/SW co-equivalence checking for firmware optimization,28
Synthesis of reconfigurable flow-based biochips for scalable single-cell screening,15
"Emulation of an ASIC power, temperature and aging monitor system for FPGA prototyping",15
Fault injection for test-driven development of robust SoC firmware,20
Embedded software reliability testing by unit-level fault injection,9
Symbolic fault modeling and model counting for the identification of critical gates in digital circuits,11
Robustness measurement of integrated circuits and its adaptation to aging effects,20
Automated construction of a cycle-approximate transaction level model of a memory controller,9
BigIntegr: One-pass architectural synthesis for continuous-flow microfluidic lab-on-a-chip systems,28
Portable all-in-one automated microfluidic system (PAMICON) with 3D-printed chip using novel fluid control mechanism,11
Energy-aware designs of ferroelectric ternary content addressable memory,12
Machine learning approaches for efficient design space exploration of application-specific NoCs,2
VOM: Flow-path validation and control-sequence optimization for multilayered continuous-flow microfluidic biochips,28
Application of Machine Learning Methods in Post-Silicon Yield Improvement,15
20nm FinFET-based SRAM cell: Impact of variability and design choices on performance characteristics,23
Emulation of an ASIC power and temperature monitor system for FPGA prototyping,15
Deterministic Analog Placement by Enhanced Shape Functions,18
White-Box Current Source Modeling Including Parameter Variation and Its Application in Timing Simulation,27
Aging model for timing analysis at register-transfer-level,29
Timing model extraction for sequential circuits considering process variations,29
Static timing model extraction for combinational circuits,16
Fast evaluation of analog circuit structures by polytopal approximations,16
Fast technology mapping for multiplexor-based Architecture with Area/delay Tradeoff,16
Goal orientated slicing enumeration through shape function clipping,25
Bayesian inference based robust computing on memristor crossbar,16
PathDriver+: Enhanced path-driven architecture design for flow-based microfluidic biochips,28
Partial sharing neural networks for multi-target regression on power and performance of embedded memories,11
A pulse-width modulation neuron with continuous activation for processing-in-memory engines,4
Electronic design automation for increased robustness in inkjet-printed electronics,16
Driver generation for IoT nodes with optimization of the hardware/software interface,2
"Cross-layer resilience: Challenges, insights, and the road ahead",14
Sram design exploration with integrated application-aware aging analysis,22
Automated Phase-Noise-Aware Design of RF Clock Distribution Circuits,9
Efficient spanning-tree-based test pattern generation for programmable microfluidic devices,25
Efficient fault injection for embedded systems: as fast as possible but as accurate as necessary,25
Frontiers of timing,13
Dark silicon management: an integrated and coordinated cross-layer approach,16
Safety evaluation based on virtual prototypes: fault injection with multi-level processor models,2
An efficient two-phase ILP-based algorithm for precise CMOS RFIC layout generation,4
On the measurement of power grid robustness under load uncertainties,7
Application-aware cross-layer reliability analysis and optimization,12
GRIP: Grammar-based IP integration and packaging for acceleration-rich SoC designs,28
Post-route alleviation of dense meander segments in high-performance printed circuit boards,14
Program-aware circuit level timing analysis,12
Variational waveform propagation for accurate statistical timing analysis,16
An FPGA-based Approach to Evaluate Thermal and Resource Management Strategies of Many-core Processors,4
Analog/Mixed-Signal (AMS) Design,10
Simple Deposition of Metal Salts on Graphene Oxide As Novel Water Oxidation Catalysts,18
(PEFC&E Best Poster Winner) Effect of Carbon Support on Fe-N3/C Model Active Site for the Oxygen Reduction Reaction,23
A Novel Water Oxidation Catalyst Made By the Facile Deposition of Ruthenium on Graphene Oxide,4
Reliable memristor-based neuromorphic design using variation-and defect-aware training,11
Rational design of a material for rapid colorimetric Fe2+ detection,11
Multi-readout logic gate for selective metal ions detection in parts per billion levels,14
N-Heterocyclic carbene complexes of rhodium in catalysis and small molecule activation,6
Back Cover: Double Single‐Crystal‐to‐Single‐Crystal Transformation and Small‐Molecule Activation in Rhodium NHC Complexes (Angew. Chem. Int. Ed. 35/2011),26
Rücktitelbild: Double Single‐Crystal‐to‐Single‐Crystal Transformation and Small‐Molecule Activation in Rhodium NHC Complexes (Angew. Chem. 35/2011),28
"Transformation and Small-Molecule Activation in Rhodium NHC Complexes Zenkina, Olena V.; Keske, Eric C.; Wang, Ruiyao; Crudden, Cathleen M",21
Reversing the Trend in Oxidative Addition,5
Conference Web page support,2
Catalysis Science & Technology,26
"Bond Activation by Nickel via a Ring Walking Process Zenkina, Olena V.; Karton, Amir",26
"Cyberbullying among adolescents: The role of affective and cognitive empathy, and gender",17
"Narcissism, extraversion and adolescents’ self-presentation on Facebook",10
A study of Web 2.0 applications in library websites,4
Online video game therapy for mental health concerns: a review,16
Understanding news sharing in social media: An explanation from the diffusion of innovations theory,29
Authoritarian parenting style in Asian societies: A cluster-analytic investigation,11
Indagator: Investigating perceived gratifications of an application that blends mobile content sharing with gameplay,28
A checklist for evaluating open source digital library software,4
Strategies for designing effective psychotherapeutic gaming interventions for children and adolescents,13
In search of query patterns: A case study of a university OPAC,7
On assigning place names to geography related web pages,7
Why we share: A study of motivations for mobile media sharing,1
Mobile content contribution and retrieval: An exploratory study using the uses and gratifications paradigm,16
"Web 2.0 applications in government web sites: Prevalence, use and correlations with perceived web site quality",20
A predictive framework for retrieving the best answer,4
Link decay in leading information science journals,2
G-Portal: a map-based digital library for distributed geospatial and georeferenced resources,6
Ontology-based web annotation framework for hyperlink structures.,12
Determining services for the mobile tourist,29
Making work fun: Investigating antecedents of perceived enjoyment in human computation games for information sharing,5
"Knowledge access, creation and transfer in e‐government portals",2
Making sense of comments on YouTube educational videos: a self-directed learning perspective,5
Tweeting the friendly skies: Investigating information exchange among Twitter users about airlines,5
Untying the knot of knowledge management measurement: a study of six public service agencies in Singapore,5
Participatory Evaluation of an Educational Game for Social Skills Acquisition,26
"Tagging, sharing and the influence of personal experience",10
Why do people share news in social media?,1
An introduction to association rule mining: An application in counseling and help-seeking behavior of adolescents,4
"Perceptions, quality and motivational needs in image tagging human computation games",13
Perceptions of virtual reward systems in crowdsourcing games,13
Video game acceptance: A meta-analysis of the extended technology acceptance model,2
What makes a high-quality user-generated answer?,23
Design and development of a concept-based multi-document summarization system for research abstracts,21
Mobile G-Portal supporting collaborative sharing and learning in geography fieldwork: an empirical study,18
Lessons from learner experiences in a field-based inquiry in geography using mobile devices,13
"Social question answering: Analyzing knowledge, cognitive processes and social dimensions of micro-collaborations",16
Predictors of high‐quality answers,13
Child-centered interaction in the design of a game for social skills intervention,12
Developing location-based mobile advertising in Singapore: A socio-technical perspective,29
Resource discovery through social tagging: a classification and content analytic approach,20
Affect in embodied pedagogical agents: Meta-analytic review,3
Social Information Retrieval Systems,18
An analysis of tweets in response to the death of Michael Jackson,4
That's news to me: The influence of perceived gratifications and personal experience on news sharing in social media,22
An analysis of knowledge management mechanisms in healthcare portals,4
Tweet me home: Exploring information use on Twitter in crisis situations,3
Fight or unite: Investigating game genres for image tagging,21
Evaluation of affective embodied agents in an information literacy game,15
“I Have AIDS”: Content analysis of postings in HIV/AIDS support group on a Chinese microblog,23
Patron-augmented digital libraries,12
Debunking rumors on social media: The use of denials,29
Selection of the best answer in CQA services,15
Collaborative querying through a hybrid query clustering approach,22
Can social tags help you find what you want?,0
Is gamification effective in motivating exercise?,0
A typology of human computation games: an analysis and a review of current games,4
Fulfilling mobile information needs: a study on the use of mobile phones,17
TILES: classifying contextual information for mobile tourism applications,28
