titles,preds
Adaptive window strategy for high-speed and robust KLT feature tracker,25
Architecture-aware technique for mapping area-time efficient custom instructions onto FPGAs,12
Area-time efficient streaming architecture for FAST and BRIEF detector,19
Efficient hybrid multicast approach in wireless data center network,25
Real-time image resizing hardware accelerator for object detection algorithms,27
Selecting profitable custom instructions for reconfigurable processors,5
Iros 2019 lifelong robotic vision: Object recognition challenge [competitions],15
Efficient three-stage auction schemes for cloudlets deployment in wireless access network,25
Framework for Fast Memory Authentication Using Dynamically Skewed Integrity Tree,22
Automated thresholding for low-complexity corner detection,9
Extended compatibility path based hardware binding algorithm for area-time efficient designs,9
Accelerating rotation of high-resolution images,29
Novel schemes for high-throughput image rotation,25
Area–time efficient between-class variance module for adaptive segmentation process,10
Automatic pixel-wise detection of evolving cracks on rock surface in video data,11
Reducing dynamic power in streaming cnn hardware accelerators by exploiting computational redundancies,5
Peak-Hour Vehicle Routing for First-Mile Transportation: Problem Formulation and Algorithms,19
Dynamic skewed tree for fast memory integrity verification,11
QoE-aware task offloading for time constraint mobile applications,12
Passenger-centric vehicle routing for first-mile transportation considering request uncertainty,19
Blockchain-based Secure Key Management for Mobile Edge Computing,12
Hardware Performance Counter-Based Fine-Grained Malware Detection,26
LifeSim: A lifetime reliability simulator for manycore systems,28
FPGA-aware techniques for rapid generation of profitable custom instructions,19
Area-time estimation of controller for porting C-Based functions onto FPGA,19
Rapid area-time estimation technique for porting C-based applications onto FPGA platforms,16
TAD: time side-channel attack defense of obfuscated source code,10
Rapid memory-aware selection of hardware accelerators in programmable SoC design,16
Area-time efficient FAST corner detector using data-path transposition,19
Shortest partial path first algorithm for reconfigurable processor array with faults,25
EEG-based emotion recognition using regularized graph neural networks,6
Efficient heuristic and tabu search for hardware/software partitioning,16
Travel-time prediction of bus journey with multiple bus trips,19
Building ethics into artificial intelligence,29
相移技术中一类误差补偿算法的设计,10
李川奇,1
光学 f 涉计量中的位相测量方法研究,7
Novel two-dimensional multistage interference cancellation scheme for uplink transmission of single carrier cyclic prefix-assisted CDMA system,25
An efficient VLSI architecture for the computation of 1-D discrete wavelet transform,4
NOMA-aided multi-UAV communications in full-duplex heterogeneous networks,6
Parameter identification of Reed-Solomon codes over noisy environment,20
Interference mitigation in Z-channel and relay-assisted Z-channel: a diversity gain region perspective,0
Low complexity fast filter bank-based channelization in L-DACS1 for aeronautical communications,16
DME interference mitigation for LDACS1 based on decision-directed noise estimation,22
Efficient aviation spectrum management through dynamic frequency allocation,16
Particle filtering with enhanced likelihood model for underwater acoustic source DOA tracking,22
Reduced complexity analogue-to-residue conversion employing folding number system,9
Reduction of UWB interference at NB systems based on a generalized pulse waveform,15
A cyclic prefix assisted spectrum sensing method for aeronautical communication systems,4
Combining OOK with PSM modulation for simple transceiver of orthogonal pulse-based TH-UWB systems,5
Relaying and power control strategy for 2-hop distributed cooperative communication,21
Sub optimal antenna selection method for MIMO-OFDM systems,0
Receive antenna selection for MIMO-SM systems with linear MMSE receivers in the presence of unknown interference,20
A novel two-layered suboptimal approach to partial transmit sequences,4
Performance enhancement of a wavelet based multicarrier DS-CDMA system through multistage interference cancellation,20
Residue number system based multicarrier CDMA for broadband mobile communication systems,16
Blind parameter estimation of turbo convolutional codes: Noisy and non-synchronized scenario,11
A hardware-efficient synchronization in L-DACS1 for aeronautical communications,4
Handling interference in self-organizing femtocell networks through frequency-polarization diversity,29
DMT for the relay assisted interference cancellation over Nakagami-m fading channel,22
A tree-structured DFT filter bank based spectrum detector for estimation of radio channel edge frequencies in cognitive radios,4
Adaptive rateless coding with feedback for cooperative relay networks,25
Power spectral analysis of orthogonal pulse-based TH-UWB signals,22
Efficient sample rate conversion in software radio employing folding number system,16
Performance of orthogonal based modulation schemes for TH-UWB communication systems,15
Performance studies of an over-sampling multi-channel equalizer for a multi-band UWB system,20
Single carrier cyclic prefix based CDMA systems,16
